SBNF,NVT,Ministro Victor Konder International Airport,-26.879.999,-48.651.402,18,Navegantes
SBNT,,Augusto Severo Airport,-5.911.419.868,-3.524.769.974,169,Natal
SBOI,OYK,Oiapoque Airport,3.855.489.969,-517.969.017,63,Oiapoque
SBPA,POA,Salgado Filho Airport,-2.999.440.002,-5.117.139.816,11,Porto Alegre
SBPF,PFB,Lauro Kurtz Airport,-28.243.999,-52.326.599,2376,Passo Fundo
SBPJ,PMW,Brigadeiro Lysias Rodrigues Airport,-1.029.150.009,-4.835.699.844,774,Palmas
SBPL,PNZ,Senador Nilo Coelho Airport,-9.362.409.592,-4.056.909.943,1263,Petrolina
SBPS,BPS,Porto Seguro Airport,-16.438.601,-39.080.898,168,Porto Seguro
SBPV,PVH,Governador Jorge Teixeira de Oliveira Airport,-8.709.289.551,-6.390.230.179,290,Porto Velho
SBRF,REC,Guararapes - Gilberto Freyre International Airport,-8.126.489.639,-3.492.359.924,33,Recife
SBRJ,SDU,Santos Dumont Airport,-2.291.049.957,-431.631.012,11,Rio De Janeiro
SBSC,SNZ,Santa Cruz Air Force Base,-229.324,-43.719.101,10,Rio de Janeiro
SBSJ,SJK,Professor Urbano Ernesto Stumpf Airport,-2.322.920.036,-4.586.149.979,2120,Sao Jose Dos Campos
SBSL,SLZ,Marechal Cunha Machado International Airport,-258.536.005,-4.423.410.034,178,Sao Luis
SBSM,RIA,Santa Maria Airport,-29.711.399,-53.688.202,287,Santa Maria
SBTE,THE,Senador Petronio Portela Airport,-5.059.939.861,-4.282.350.159,219,Teresina
SBUG,URG,Rubem Berta Airport,-2.978.219.986,-5.703.820.038,256,Uruguaiana
SBUL,UDI,Ten. Cel. Aviador Cesar Bombonato Airport,-18.883.612,-48.225.277,3094,Uberlandia
SBVG,VAG,Major Brigadeiro Trompowsky Airport,-2.159.009.933,-4.547.330.093,3025,Varginha
SBVT,VIX,Eurico de Aguiar Salles Airport,-20.258.057,-40.286.388,11,Vitoria
SBZM,IZA,Presidente Itamar Franco Airport,-21.513.086,-43.173.069,1348,Juiz de Fora
SDZY,IZA,Zona da Mata Regional Airport,-215.130.558,-4.317.305.756,1348,Juiz De Fora
SJTC,JTC,Bauru - Arealva Airport,-2.216.685.914,-4.905.028.667,1949,Bauru
SSZW,PGZ,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,-251.847,-501.441,2588,Ponta Grossa
